home,away,Year,Match
Germany , Scotland,2024,1
Hungary ,  Switzerland,2024,2
Germany , Hungary,2024,3
Scotland ,  Switzerland,2024,4
Switzerland , Germany,2024,5
Scotland , Hungary,2024,6
Spain , Croatia,2024,7
Italy , Albania,2024,8
Croatia , Albania,2024,9
Spain , Italy,2024,10
Albania , Spain,2024,11
Croatia , Italy,2024,12
Slovenia , Denmark,2024,13
Serbia , England,2024,14
Slovenia , Serbia,2024,15
Denmark , England,2024,16
England , Slovenia,2024,17
Denmark , Serbia,2024,18
Poland , Netherlands,2024,19
Austria , France,2024,20
Poland , Austria,2024,21
Netherlands , France,2024,22
Netherlands , Austria,2024,23
France , Poland,2024,24
Romania , Ukraine,2024,25
Belgium , Slovakia,2024,26
Slovakia , Ukraine,2024,27
Belgium , Romania,2024,28
Slovakia , Romania,2024,29
Ukraine , Belgium,2024,30
Turkey , Georgia,2024,31
Portugal , Czech Republic,2024,32
Georgia , Czech Republic,2024,33
Turkey , Portugal,2024,34
Georgia , Portugal,2024,35
Czech Republic , Turkey,2024,36
Switzerland , Italy,2024,37
Germany , Denmark,2024,38
England , Slovakia,2024,39
Spain , Georgia,2024,40
France , Belgium,2024,41
Portugal , Slovenia,2024,42
Romania , Netherlands,2024,43
Austria , Turkey,2024,44
Spain , Germany,2024,45
Portugal , France,2024,46
England ,  Switzerland,2024,47
Netherlands , Turkey,2024,48
Spain , France,2024,49
Netherlands , England,2024,50
Spain , England,2024,51
